Name,Passes and iterations
Data sizes,"[1000, 5000, 10000, 20000, 40000]"
Number of topics,"[10, 30, 50, 100]"
Not above,"[0.1, 0.5, 0.9]"
Chunksize,"[500, 1000, 2000, 4000]"
Passes,"[1, 5, 10, 20]"
Iterations,"[100, 200, 400]"

Data size,Topics,no_above,Chunksize,Passes,Iteration
1000,30,0.5,2000,5,200

account,google,try,follow,command,10,different,ask,best,unit,new,happy,house,trouble,day,perfect,function,vacation,super,money,router,firmware,connection,christmas,far,living,pair,house,configure,heater
update,amazon,review,step,convenient,sunset,power,charm,tablet,plugged,amazon,purchase,pretty,apps,week,bed,remotely,thank,little,energy,connected,tv,excellent,useful,advertised,bulb,amazon,dark,charging,space
amazon,mini,return,direction,program,homekit,hard,easier,security,wall,purchased,buying,definitely,software,month,night,appliance,touch,wish,sent,tried,click,operate,tell,quality,ifttt,paired,install,mobile,complaint
issue,awesome,working,review,amazon,sunrise,high,hooked,smartphone,small,year,fast,want,cell,ve,able,simple,screen,le,worth,wireless,code,expected,tree,seller,surge,smartthings,neutral,experience,big
network,kasa,customer,read,io,allows,design,followed,haven,size,old,jinvoo,buy,application,ha,extremely,integration,intuitive,dimmer,recommended,connecting,press,signal,plugged,described,protector,required,way,waste,office
connect,perfectly,update,store,pleased,min,reach,band,forward,need,buy,amazing,little,range,reset,porch,day,slow,bit,service,connection,gadget,ghz,quickly,job,monitor,need,white,discover,deal
new,exactly,help,thing,quick,setting,future,hook,camera,ha,better,group,block,interface,problem,outdoor,ha,water,expensive,offline,able,manual,useless,friendly,failed,lighting,wink,need,soon,difficult
tried,ordered,tech,process,nice,convenience,ha,shut,option,apple,cheaper,compatible,ve,extender,issue,turning,ipad,dual,looking,usage,internet,kid,returning,gift,supposed,led,tuyasmart,electrical,review,reliable

Data size,Topics,no_above,Chunksize,Passes,Iteration
40000,30,0.9,2000,5,200

Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29,Topic 30
automation,buy,power,lamp,software,simple,amazon,network,working,mini,recommend,wemo,customer,link,power,perfectly,schedule,connected,update,minute,google,energy,room,good,belkin,timer,room,house,wire,wi
handy,little,store,awesome,rule,instruction,dot,router,worked,bought,bulb,connect,service,tp,socket,excellent,cool,account,firmware,life,hub,connection,lamp,far,wemo,old,advertised,christmas,install,fi
quick,ll,blue,thing,thing,download,voice,setting,reset,ordered,highly,support,review,kasa,strip,convenient,ifttt,stay,issue,timer,surge,remote,bedroom,price,power,option,doe,fan,box,perfect
heater,future,offline,button,need,downloaded,command,connect,fine,le,tuya,tech,support,reconnect,wall,amazing,feature,recommended,week,took,smartthings,click,house,quality,application,morning,exactly,tree,installed,expected
enabled,reliable,jinvoo,plugged,ha,direction,super,wireless,got,useful,dimmer,tried,company,amazon,usb,charge,follow,configure,apple,program,need,design,bed,unit,better,year,needed,outside,installation,iphone
address,expensive,code,hard,know,little,happy,issue,month,coffee,definitely,hour,received,disconnect,size,operate,able,cell,homekit,sunset,extender,intuitive,night,best,integration,better,living,leave,neutral,item
skill,pair,free,block,apps,connect,bought,user,day,second,pack,amazon,email,disconnected,port,fast,pretty,problem,ha,nice,protector,location,tv,look,sensor,change,kitchen,camera,white,described
scene,buying,add,price,charging,install,sync,connection,android,thanks,led,help,instruction,connection,fit,skill,access,security,review,day,wink,signal,remote,pretty,motion,new,job,garage,house,ipad
table,definitely,press,little,create,pleased,purchased,seller,problem,gift,purchase,connected,sent,hs100,small,extremely,step,drop,response,10,charger,monitoring,living,impressed,outage,version,gadget,ac,wiring,daily
easily,need,button,wish,android,difficult,install,review,password,deal,dim,spent,tried,easiest,ha,absolutely,timer,ordering,ve,house,range,power,want,high,adapter,play,hooked,monitor,way,exactly

Data size,Topics,no_above,Chunksize,Passes,Iteration
40000,30,0.9,4000,5,200

Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29,Topic 30
amazon,christmas,timer,bulb,install,support,year,wemo,ihome,voice,remote,nice,thing,perfectly,wire,doe,room,link,button,working,add,tried,network,connect,wall,good,simple,downloaded,power,item
dot,tree,schedule,dimmer,minute,review,brand,update,surge,command,awesome,cool,need,socket,hub,super,lamp,tp,unit,mini,code,hour,router,connection,fit,far,recommend,error,camera,usb
google,tuya,feature,led,took,instruction,ve,firmware,protector,away,happy,able,option,life,box,recommend,bedroom,kasa,second,month,coffee,connect,android,connected,size,advertised,looking,junk,ac,port
perfect,air,sunset,dim,installed,customer,different,belkin,etekcity,lamp,purchase,house,model,fan,neutral,highly,living,homekit,design,week,lighting,money,issue,wi,socket,price,forward,total,strip,power
integration,got,energy,controlled,10,service,house,skill,assistant,amazon,program,remotely,know,wish,white,recommended,bed,tv,press,worked,smartthings,trying,access,fi,cover,quality,charm,watt,security,strip
ifttt,hook,rule,dimming,le,help,new,setting,2nd,right,described,appliance,allows,expected,wiring,job,night,apple,block,fine,store,try,password,router,box,instruction,definitely,guy,unit,cord
amazing,koogeek,day,useful,porch,company,old,ha,round,bought,excellent,heater,hub,worked,way,hard,house,account,click,problem,price,worked,wireless,network,space,fast,quick,piece,outage,charging
download,kid,ha,color,outside,email,bought,new,shape,click,pair,thing,world,convenient,wave,little,dark,4ghz,charger,day,outdoor,return,software,internet,large,follow,friend,load,turned,ha
wemo,hooked,sunrise,controller,house,read,ll,problem,tplink,buy,fantastic,iphone,separate,easier,wink,need,walk,amazon,compact,ha,blue,won,need,download,big,pretty,arrived,stuff,garage,handy
pack,ask,setting,level,flawlessly,tech,location,issue,longer,haven,ordered,pretty,want,needed,install,buy,having,5ghz,push,stopped,ok,returned,ha,signal,charge,install,quickly,run,need,extension

Data size,Topics,no_above,Chunksize,Passes,Iteration
40000,30,0.9,4000,1,200

Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29,Topic 30
mini,link,far,working,doe,garage,life,size,wire,power,hub,network,price,air,instruction,lamp,download,gadget,house,sunset,socket,wi,power,bulb,homekit,google,awesome,wemo,christmas,android
dot,tp,described,worked,good,box,house,bit,box,strip,bought,router,fast,house,connect,room,fan,dimmer,needed,timer,usb,fi,thing,convenient,apple,voice,perfect,belkin,super,wemo
