Name,Passes and iterations
Data sizes,"[1000, 5000, 10000, 20000, 40000]"
Number of topics,"[10, 30, 50, 100]"
Not above,"[0.1, 0.5, 0.9]"
Chunksize,"[500, 1000, 2000, 4000]"
Passes,"[1, 5, 10, 20]"
Iterations,"[100, 200, 400]"

Data size,Topics,no_above,Chunksize,Passes,Iteration
1000,50,0.9,2000,5,200

wait,twice,usage,switch,support,quality,ordering,time,camera,ifttt,pain,phone,needed,monitor,bedroom,product,able,ease,difficult,alarm,plugged,screw,buy,time,channel,cost,luck,super,phone,company,phone,originally,wall,light,smart,air,time,liked,absolutely,interface,window,home,use,overall,thing,drop,port,cheaper,gift,bonus
switch,attached,ago,google,work,friendly,remember,price,buy,option,switch,light,unlike,led,room,setup,use,device,skill,programming,cover,need,ask,hold,anymore,half,forget,work,work,issue,time,factory,device,holiday,unplug,address,power,tap,getting,price,unit,iphone,work,satisfied,web,work,required,frustrating,soon,finding
15,switch,terrible,vacation,unit,instruction,reboot,etekcity,good,sunset,loses,wa,considering,control,bed,fine,dark,solved,lost,sitting,strip,add,flawlessly,setting,useless,setup,enter,program,time,fix,setup,insteon,pretty,control,samsung,wa,won,designed,ability,haven,account,device,space,like,piece,worked,nest,sound,buying,beta

Data size,Topics,no_above,Chunksize,Passes,Iteration
40000,50,0.9,2000,5,200

Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29,Topic 30,Topic 31,Topic 32,Topic 33,Topic 34,Topic 35,Topic 36,Topic 37,Topic 38,Topic 39,Topic 40,Topic 41,Topic 42,Topic 43,Topic 44,Topic 45,Topic 46,Topic 47,Topic 48,Topic 49,Topic 50
alexa,good,issue,outlet,link,plug,tv,device,security,complaint,switch,wa,wifi,life,socket,hub,long,returning,easy,working,maybe,echo,turn,router,power,wish,support,account,wemo,awesome,unit,iphone,fan,usb,light,christmas,update,work,design,love,great,away,quality,app,instruction,switch,dot,product,software,plug
app,price,far,remote,tp,outlet,code,skill,especially,isn,wire,tried,connect,mobile,better,home,forget,required,set,schedule,start,amazon,light,connection,strip,future,product,money,app,perfect,perfectly,app,range,nice,turn,light,mini,advertised,outside,home,work,phone,longer,phone,follow,light,echo,item,user,smart
set,product,problem,control,kasa,wall,play,app,camera,lose,box,work,network,currently,small,automation,server,hook,setup,month,second,work,time,wifi,belkin,size,tech,hard,switch,doe,work,apple,window,port,room,tree,firmware,io,plugging,google,alexa,wa,10,wi,review,dimmer,got,purchase,error,recommend
control,work,ve,use,bulb,big,ok,setup,access,coffee,light,time,connected,wonderful,block,best,sound,seller,work,internet,time,excellent,timer,network,surge,smaller,password,worth,ifttt,work,old,homekit,air,reliable,lamp,ihome,service,hope,responsive,simple,product,app,forward,fi,read,like,wa,happy,select,home
easy,tuya,work,button,pack,use,application,process,absolutely,website,neutral,worked,work,single,appliance,brand,prong,lazy,use,stopped,stop,fast,set,wireless,plugged,piece,email,waste,device,exactly,control,work,heater,charging,use,wife,week,thanks,led,control,fine,right,sync,android,know,wa,ordered,recommend,stand,use
voice,far,ha,second,smart,fit,number,function,fantastic,individual,wa,day,connecting,configured,usage,pair,machine,sleep,install,reset,20,expected,app,signal,ac,junk,customer,reach,ghz,needed,lighting,integration,extender,enter,house,nest,new,4ghz,live,able,little,downloaded,high,setting,direction,way,pleased,described,activate,highly
smart,quality,haven,different,compact,cord,hue,enabled,offline,satisfied,install,able,home,feel,like,smartthings,stated,hassle,wa,time,wait,recommended,home,smartphone,ha,continue,replacement,manage,insight,operate,timer,ipad,space,handy,bedroom,turn,sent,trouble,avoid,thing,buy,looking,straight,device,like,wall,breeze,buy,ability,phone
download,charge,purchasing,size,alexa,large,named,add,definitely,overall,white,try,doe,wouldn,cheaper,need,50,guy,app,worked,line,highly,day,issue,energy,mac,received,factor,phone,thank,worked,home,office,stay,living,year,review,store,inside,ordering,like,plugged,functionality,step,people,installed,extremely,convenient,buggy,control
wa,pretty,month,press,monitoring,cover,battery,initial,like,cheap,wiring,got,setup,husband,price,work,blinking,expect,alexa,ha,save,product,feature,band,monitor,hardware,help,form,data,supposed,light,koogeek,conditioner,sensor,love,lol,hour,total,safe,phone,getting,cell,designed,work,said,ha,useful,purchased,flash,turn
minute,deal,fine,lamp,individually,need,description,scene,point,actually,electrical,hour,won,loved,impressed,user,load,noise,super,interface,reset,hooked,sunset,connectivity,protector,address,called,helped,permission,integrate,etekcity,siri,cool,liked,bed,favorite,customer,rename,operation,house,thing,mode,solid,instruction,simple,bulb,linked,amazing,excited,cool

Data size,Topics,no_above,Chunksize,Passes,Iteration
20000,50,0.1,2000,5,200

Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29,Topic 30,Topic 31,Topic 32,Topic 33,Topic 34,Topic 35,Topic 36,Topic 37,Topic 38,Topic 39,Topic 40,Topic 41,Topic 42,Topic 43,Topic 44,Topic 45,Topic 46,Topic 47,Topic 48,Topic 49,Topic 50
cool,update,multiple,big,tv,doe,way,lamp,amazon,hooked,link,timer,code,year,fan,connected,remote,wire,wall,item,connect,couldn,review,iphone,price,good,power,energy,let,little,saying,instruction,christmas,happy,definitely,box,router,schedule,range,homekit,wemo,fine,hub,recommend,button,io,heater,room,reset,working
pretty,firmware,ll,deal,amazing,perfectly,high,hard,voice,future,tp,rule,pump,unit,appliance,stay,unit,install,convenient,nice,network,network,design,ipad,socket,far,week,neo,review,bit,message,hour,wi,le,user,fit,software,remotely,signal,apple,ifttt,dot,paired,highly,click,lighting,easier,lamp,pair,month
android,belkin,ve,ok,impressed,money,good,remote,command,cheaper,kasa,sunset,hot,bought,useful,day,access,neutral,bed,advertised,connection,smaller,unit,setting,worked,outdoor,working,usage,random,remote,machine,tech,fi,minute,fun,reach,new,automatically,foot,siri,insight,charm,smartthings,super,press,bulb,life,living,return,network
downloaded,support,pain,tablet,luck,waste,quality,floor,dot,state,amazon,start,house,ago,morning,office,breeze,need,getting,perfect,tried,technology,point,wion,expected,exactly,strip,unit,look,bulky,person,help,tree,extremely,cost,cover,issue,timer,away,koogeek,block,issue,automation,especially,push,led,space,awesome,unplug,stopped
ac,network,disconnect,coffee,unplugged,worth,drop,second,google,allow,terrible,old,configured,ve,controlling,convenience,able,wiring,thing,program,connected,probably,apartment,error,excellent,outside,respond,window,want,controlled,said,follow,customer,programming,friendly,standard,account,allows,garage,idevices,cord,connecting,easily,recommended,thanks,kit,hit,bedroom,process,reliable
stuff,issue,hoping,plugged,late,supposed,low,family,ask,decoration,receiver,wanted,winter,month,complaint,want,extra,screw,idea,buy,took,apps,ve,wink,flawlessly,bought,plugged,ankuoo,away,location,saw,support,service,10,disappointed,wall,connectivity,vacation,ordering,feature,extension,lost,connects,best,hold,application,com,house,step,described
play,reset,initial,model,sensor,job,value,forward,compatible,buying,review,setting,entire,battery,making,lazy,right,load,house,wish,got,thing,people,address,returned,christmas,outage,air,totally,different,nest,spent,email,option,helpful,electrical,need,water,happens,better,better,problem,operation,monitor,watch,pack,kind,bed,junk,password
thing,router,going,ready,offer,free,group,quick,bought,electric,brand,minute,blink,replacement,number,place,need,ge,live,simple,internet,think,band,minute,good,problem,delay,camera,main,distance,need,direction,support,holiday,regular,hard,android,create,door,scheduling,android,worked,needed,frustrating,green,hue,ha,dark,tried,worked
huge,problem,day,prong,motion,save,need,table,integration,understand,similar,feature,appear,purchased,ha,2nd,switched,white,large,fantastic,trying,fact,functionality,called,ha,gift,stop,electricity,scene,controller,electronic,website,received,etekcity,dog,package,download,change,wall,interface,mobile,son,required,ability,open,furniture,toggle,night,piece,ha
responsive,connection,line,maker,upstairs,adapter,order,smartphone,sync,negative,doe,sunrise,hardware,completely,simply,away,away,black,sleep,handy,able,expect,rating,7,fast,house,daily,ha,know,world,restart,configure,company,took,thought,plate,4ghz,certain,loses,version,garbage,install,wave,kid,plugged,husband,cold,having,worked,6

Data size,Topics,no_above,Chunksize,Passes,Iteration
20000,50,0.5,2000,5,200

Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29,Topic 30,Topic 31,Topic 32,Topic 33,Topic 34,Topic 35,Topic 36,Topic 37,Topic 38,Topic 39,Topic 40,Topic 41,Topic 42,Topic 43,Topic 44,Topic 45,Topic 46,Topic 47,Topic 48,Topic 49,Topic 50
power,network,working,price,happy,open,support,remote,wish,doe,lamp,smartphone,link,fan,io,plugged,life,iphone,box,update,cool,buy,wi,little,christmas,controller,away,feature,nice,minute,button,connect,hour,perfectly,schedule,security,bought,good,setting,energy,homekit,unit,software,hub,amazon,tv,wemo,awesome,recommend,instruction
water,connection,month,battery,purchase,garage,customer,bedroom,mobile,bulky,room,pair,tp,modem,code,came,ability,company,wire,android,thing,won,fi,socket,tree,allows,thought,server,bed,timer,click,router,trying,advertised,perfect,camera,function,hard,couldn,worth,apple,timer,application,looking,dot,expected,network,exactly,install,follow
described,internet,worked,expensive,wall,door,password,room,4ghz,supposed,living,plugging,kasa,cable,store,smaller,usage,appliance,neutral,firmware,ipad,want,buying,bit,outdoor,family,signal,scene,house,took,press,reset,tech,far,voice,address,item,big,user,money,siri,old,window,smartthings,able,best,insight,needed,simple,wion
hot,connected,ve,good,band,pleased,returned,heater,hook,skill,floor,recognize,belkin,enjoy,apps,left,live,review,screw,issue,pretty,play,plan,difficult,unplug,receiver,reconnect,configuration,amazing,ifttt,programming,tried,service,excellent,outside,holiday,fact,reach,charm,cheaper,koogeek,year,air,future,haven,bulb,access,friend,highly,account
vacation,neo,got,strong,solid,end,email,night,gadget,job,bought,loved,ac,access,7,receptacle,let,ask,install,week,tell,junk,definitely,fantastic,wink,foot,mini,fixed,dark,10,number,return,ok,program,command,giving,gift,quality,easier,website,idevices,etekcity,schedule,forward,handy,fast,router,pump,super,read
outage,issue,fine,anymore,packaging,intended,replacement,come,allow,extra,thing,market,monitor,internet,pack,box,relatively,ready,need,ha,fun,piece,ll,operate,hub,distance,guess,port,walk,automatically,randomly,block,finally,worked,lighting,kid,purchased,size,figure,ordered,compatible,ha,buggy,group,kit,apartment,setting,described,recommended,review
stop,connect,day,house,stand,turned,received,wall,decoration,add,house,need,machine,usb,8,right,ha,test,wiring,version,iphone,need,soon,getting,bought,range,error,real,coffee,sunset,location,second,help,extremely,reliable,controlling,purchasing,cord,pain,cost,design,module,ve,hooked,cell,led,connected,designed,sync,google
ha,wireless,stopped,min,lower,poor,told,button,fountain,prong,turning,impressed,power,thing,wife,making,huge,amazon,electrical,iphone,tap,wait,area,large,4g,unplugged,know,initial,convenience,rule,hold,try,support,flawlessly,house,create,constantly,cover,model,ordering,ha,remote,furniture,automation,free,son,process,lost,quick,direction
timer,connectivity,ha,guy,state,mind,said,having,negative,word,different,unreliable,discover,step,10,literally,placed,rating,wall,downloaded,lazy,thing,probably,idevice,string,wave,channel,switching,thank,feature,multiple,worked,spent,easily,convenient,shut,house,fit,friendly,bluetooth,color,problem,believe,response,problem,hue,connecting,impossible,gave,luck
stay,doe,problem,moved,reason,close,problem,want,technology,basically,able,router,minute,ceiling,somewhat,dual,register,hope,installed,updated,think,going,complaint,liked,year,remote,message,simply,arrived,le,different,day,got,morning,option,mac,wanted,extension,hand,save,better,wireless,configure,wonderful,interface,configure,connect,short,spot,called

Data size,Topics,no_above,Chunksize,Passes,Iteration
20000,50,0.9,2000,5,200

Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29,Topic 30,Topic 31,Topic 32,Topic 33,Topic 34,Topic 35,Topic 36,Topic 37,Topic 38,Topic 39,Topic 40,Topic 41,Topic 42,Topic 43,Topic 44,Topic 45,Topic 46,Topic 47,Topic 48,Topic 49,Topic 50
link,lamp,application,user,super,router,install,homekit,worked,power,item,good,nice,expected,exactly,button,working,remote,hour,voice,timer,recommend,iphone,price,perfectly,dot,hub,cover,connect,especially,excellent,schedule,wi,automation,socket,different,thing,support,little,house,amazon,wemo,unit,program,wire,house,doe,cost,glad,thing
network,room,lose,change,happy,reset,simple,apple,fine,update,wish,best,awesome,ok,looking,click,month,lighting,trying,internet,controller,minute,money,block,energy,tv,hard,big,help,coming,easier,bedroom,fi,io,tablet,location,won,belkin,job,range,advertised,insight,software,fan,box,perfect,timer,tech,fully,pain
tp,living,respond,usage,handy,connection,android,siri,right,tree,ipad,fast,convenient,tell,described,pair,far,recommended,finally,command,wave,took,heater,design,save,sync,reach,difficult,hope,prong,setting,night,apartment,connected,door,cord,ll,update,wait,outside,return,amazon,allows,number,neutral,christmas,feature,company,rating,need
kasa,ifttt,solution,vacation,bulky,connect,installation,koogeek,couldn,christmas,convenience,fun,power,hooked,needed,press,year,second,instruction,amazon,pump,highly,waste,bit,downloaded,hit,wink,power,disconnect,older,life,bed,cell,issue,garage,extension,smaller,customer,programming,dark,ordered,forward,create,code,screw,cool,sunset,free,linked,thought
access,plugged,isn,power,receiver,tried,extremely,idevices,bought,account,coffee,pretty,reliable,complaint,future,junk,ve,bought,tried,scene,module,le,buy,floor,breeze,gadget,24,plugged,helpful,consistently,new,scheduling,adding,plan,monitor,multiple,fit,service,channel,walk,neo,family,group,programmed,wiring,amazing,minute,support,handle,random
